Domain / Category,Parameter,Category Description,Parameter Description,Basic — Criterion,Medium — Criterion,High — Criterion,Optimised Parameter Name
▶  EV,Electric Vehicle (EV) Technologies,,,,,,
Category Overview,,"Covers all features exclusive to battery-electric (BEV) and plug-in hybrid (PHEV) powertrains: intelligent routing and range management, smart and bidirectional charging (V2G/V2H/V2L), battery health monitoring, and eco-driving coaching. ",,,,,
EV,Trip planner / EV Routing,,"Integrated EV route planning within the navigation system that calculates the optimal route accounting for real-time battery state, charger locations, charging speeds, and planned stops to ensure arrival within the vehicle's range.",Static range estimate only; no live charger data or multi-stop optimisation.,Connected routing with real-time charger availability and basic arrival SoC planning.,"Full multi-stop optimised EV routing: live charger status, dynamic arrival/departure SoC management, weather-adjusted range, in-route re-optimisation.",EV Route Planner with Charging Stop Optimisation
EV,Battery Preconditioning,,"System that heats or cools the high-voltage battery to its optimal temperature window before a DC fast charging session, significantly increasing charging speed and protecting battery longevity.",Manual activation only — driver must trigger preconditioning independently before DCFC.,Automatic trigger via navigation destination set to a DC charger.,Automatic nav-based preconditioning integrated with cabin pre-climatisation and departure timer.,Battery Preconditioning for DC Fast Charging
EV,Eco Coaching,,In-vehicle coaching system that analyses driving behaviour and/or forecasts energy consumption to help the driver maximise range and efficiency. ,Post-trip driving behaviour evaluation with efficiency score only.,Real-time coaching tips and suggestions during the journey based on driving style.,"Predictive energy discharge forecast using planned route, topography, traffic, climate load, and driving style combined.",Eco Driving Coaching and Energy Forecast
EV,Add power (purchase additional horsepower OTA),,Software-based mechanism allowing the owner to unlock additional motor output or performance modes via an Over-The-Air (OTA) purchase or subscription — without any physical hardware change. Enables the manufacturer to offer performance upgrades post-sale.,One-time OTA unlock via dealer or brand portal (not self-service).,OTA performance tier purchase available via in-car or mobile app store.,"Flexible subscription or on-demand OTA power unlock (e.g., per-day or per-event) purchased directly in-vehicle.",OTA Performance Unlock (Additional Horsepower Purchase)
EV,Smart e-coasting,,System that automatically optimises the vehicle's coasting behaviour and energy regeneration level by anticipating upcoming events. ,Sensor-based only — radar/lidar distance to lead vehicle drives coasting optimisation.,Sensor data plus map speed-limit anticipation for coasting management.,"Full predictive coasting using navigation: speed limits, curves, roundabouts, intersections, and topography.",Predictive Energy Recuperation and Smart Coasting
EV,EV/PHEV Smart Charging (Cooperative / Managed Charging) (V1G Lev2),,"Capability to modulate the vehicle's AC charging rate in response to external grid signals, electricity prices, or operator commands (V1G — one-directional). ",Off-board V1G only — external EVSE or grid signal manages charging; no onboard intelligence.,Hybrid off-board/onboard: external signals with some onboard scheduling capability.,"Full onboard V1G: dynamic tariff integration, grid-load response, and automated scheduling.",Smart Managed Charging V1G (Cooperative Charging)
EV,V2G,,"Vehicle-to-Grid: bidirectional charging capability allowing the EV battery to export energy back to the public electricity grid, enabling demand response, grid stabilisation, and potential revenue generation for the owner via aggregator or energy-contract partnerships.",Manual or scheduled V2G export only; no automated energy management.,Automated V2G with basic energy-contract partner integration.,"Full V2G with revenue optimisation, aggregator integration, and automated grid-response capability.",Vehicle-to-Grid Bidirectional Charging (V2G)
EV,Vehicle to home energy V2H offgrid (blackout) and/or ongrid,,Vehicle-to-Home: bidirectional power export to supply a residential building. ,Backup power supply during grid blackouts only (off-grid mode).,Scheduled on-grid V2H operation with manual control.,"Full HEMS integration with solar coordination, automatic grid/backup switching, and optimised self-consumption.",Vehicle-to-Home Energy Supply (V2H)
EV,V2L(Vehicle to Load - vehicle as a generator; Power Panel)  (Including V2V capabilities),,"Vehicle-to-Load: ability to power external electrical devices (tools, appliances, camping equipment) via onboard AC/DC sockets using the traction battery. Also covers Vehicle-to-Vehicle (V2V) charging of another EV. Power output and socket variety determine the level.",Single standard AC socket (≤2 kW output).,Multiple sockets or higher power (2–3.6 kW) with integrated power panel.,"High-power output panel (>3.6 kW), multiple socket types, and V2V bidirectional charging capability.",Vehicle-to-Load External Power Export (V2L / V2V)
EV,Plug & Charge/Autocharge,,Automated authentication and payment initiation at a DC fast charger without driver action. ,No automated authentication; manual app/RFID required at public DCFC.,Autocharge: proprietary or network-specific automated handshake for charging initiation.,"Plug & Charge per ISO 15118: cybersecure, cross-network interoperable automatic authentication and payment.",Plug and Charge Automatic Authentication (ISO 15118)
EV,Display Charge status/information DC charging,,"Real-time visualisation of the DC charging session on the vehicle's displays: current SoC %, estimated time to target charge, charging power in kW, and session energy. ",Basic SoC % and estimated time remaining displayed.,"Detailed display: charging power (kW), session energy, and cost estimate.","Full charging dashboard: power, SoC, cost, charger ID, session log, and predictive end-of-charge time on multiple screens.",DC Charging Status Display
EV,Location based charging,,"Ability to configure distinct charging profiles (target SoC, charging window, power limit) that activate automatically based on the vehicle's GPS location (e.g., different settings for home vs. work vs. public charging).",Single preset charging schedule independent of location.,"Two preset profiles (e.g., home/work) with different schedules.","Multiple geo-fenced location profiles each with individual power, SoC limit, duration, and tariff settings.",Location-Based Charging Profiles
EV,EV/PHEV comfort charging (wireless inductive or conductive),,"Charging solution eliminating manual cable handling. Includes wireless inductive charging pads (park-and-charge) or automated robotic/conductive systems. Provides superior convenience, especially for daily home charging routines.",Official OEM wireless charging pad accessory available (separate purchase).,Factory-integrated wireless inductive charging pad (up to ~11 kW).,Automated robotic/conductive or high-power (>11 kW) wireless charging — fully integrated from factory.,Wireless or Automated Inductive Charging
EV,Charge Coach (e-coaching recharge Inno; NMC batteries only),,"Specialised coaching system guiding the driver on optimal charging practices to extend battery life and efficiency — distinct from range coaching. Provides recommendations on AC vs. DC charging, ideal SoC windows for storage, and long-term degradation avoidance. Most effective for NMC battery chemistry.",Basic static guidance on optimal SoC ranges for battery health.,Dynamic coaching adapting AC vs DC recommendations to usage patterns.,"Personalised per-session coaching: charge speed, SoC targets, and long-term battery health tracking (NMC-specific).",Battery Charging Coach (Optimised Charging Guidance)
EV,"Variable charging control (set kW, time, max.SOC) down to SOC% and kW#",,Granular user control over the charging session. ,Start/stop current session only — no scheduling or power adjustment.,Set target SoC % and schedule departure time; no granular power control.,"Full control: adjustable target SoC %, scheduled window, and adjustable charging power/current in defined steps.","Variable Charging Control (Power, Schedule, Target SoC)"
EV,Battery State of Health / Used Battery Certificate / Battery Passport,,"Provision of transparent battery health data and certification. Includes State of Health (SoH) percentage, capacity degradation trend, and optionally a formal battery health certificate or EU Battery Passport for resale and regulatory compliance purposes.",General battery health indicator or estimated capacity available in vehicle menu.,Detailed SoH % with degradation trend accessible to the owner.,Official battery health certificate and/or EU Battery Passport compliant digital passport — transferable to future buyer.,Battery State of Health and Battery Passport
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
